id_n	name_s
2563	asia pacific conference on circuits and systems
1711	international conference on advanced learning technologies
106	parallel computing
338	database and expert systems applications
0	international conference on human-computer interaction
1025	Educational Technology & Society
2370	Journal of Computer Assisted Learning
1900	web intelligence
2436	conference on information technology education
2678	Interactive Technology and Smart Education
509	IEICE Transactions on Fundamentals of Electronics
130	Lecture Notes in Computer Science
17	international conference on human computer interaction
501	international conference on computers in education
19	soft computing
2752	intelligent information hiding and multimedia signal processing
1600	intelligent networking and collaborative systems
1803	symposium on applications and the internet
1701	advanced information networking and applications
2426	field-programmable technology
1969	Speech Communication
2496	broadband and wireless computing
936	computer software and applications conference
2433	international conference on information technology: new generations
514	software engineering
1095	Microprocessors and Microsystems
1558	asia pacific network operations and management symposium
12	conference of the international speech communication association
1664	southwest symposium on image analysis and interpretation
3672	computer graphics
1	visual analytics science and technology
67	international world wide web conferences
2259	Journal of Electronic Imaging
1208	conference on computer supported cooperative work
109	international provenance and annotation workshop
1211	IEEE Transactions on Instrumentation and Measurement
1634	symposium/workshop on electronic design
1949	Iet Circuits Devices & Systems
2	pattern recognition and machine intelligence
697	arXiv: Computer Vision and Pattern Recognition
1505	IEEE Communications Magazine
1867	network operations and management symposium
277	Engineering Letters
981	integrated network management
729	Journal of Multimedia
200	international conference on robotics and automation
2113	IEEE Transactions on Information Forensics and Security
1964	International Journal of Sensor Networks
796	international conference on pattern recognition
500	ieee international conference on cloud computing technology and science
1192	international conference on supercomputing
2057	World Wide Web
1870	IEEE Network
331	Annales Des Télécommunications
533	Ksii Transactions on Internet and Information Systems
1967	IEEE Access
1088	Journal of Network and Computer Applications
38	intelligent data engineering and automated learning
2435	Security and Communication Networks
2087	IEEE Transactions on Consumer Electronics
1514	international conference on cloud computing
119	Wireless Personal Communications
160	Future Generation Computer Systems
920	Mobile Networks and Applications
1015	international conference on genetic and evolutionary computing
3314	ACM Transactions in Embedded Computing Systems
613	International Journal of Systems Science
786	Computer Standards & Interfaces
2440	International Journal of Distributed Sensor Networks
369	international symposium on circuits and systems
455	Telecommunication Systems
1193	Sensors
172	Computer Communications
593	IEICE Transactions on Information and Systems
1239	Information Sciences
1474	International Journal of Network Management
2158	Intelligent Automation and Soft Computing
818	vehicular technology conference
633	international test conference
1250	Journal of Medical Systems
1434	The Journal of Supercomputing
534	ambient intelligence
2179	Peer-to-peer Networking and Applications
1765	wireless communications and networking conference
1560	Journal of Systems and Software
1182	Electronic Journal of Combinatorics
2123	computational science and engineering
1469	IEEE Transactions on Medical Imaging
837	international parallel and distributed processing symposium
811	international conference on computer communications and networks
1301	Discrete Mathematics
