id	aminer_id	title 
0	2f23ebde-e8dd-4643-af2d-f215f03263d0	Visual Versus Verbal Location Information on the iPhone	
1	2f240466-1db4-423a-96bb-4b71f0bc337a	A tractography comparison between turboprop and spin-echo echo-planar diffusion tensor imaging.	
2	fc8772c2-a583-4cef-b635-c3508d17c711	Diffusion tensor imaging reveals regional differences in the cervical spinal cord in amyotrophic lateral sclerosis.	
3	f1b07c10-6bb4-49dd-ab92-8fb894410f64	A Stochastic Model for Simulating the Availability of Electric Vehicles for Services to the Power Grid	
4	2f241bc0-60ab-4b20-b659-e0b36dbb5967	Information system architecture for the interaction of electric vehicles with the power grid	
5	2aebc3fb-0100-42b7-b1f3-e03807c5d21f	Big Data Technology for Resilient Failure Management in Production Systems	
6	895c4d19-bc5b-411a-aae7-8f1b8e0cf612	Architecture and implementation of a Frame Aggregation Unit for optical frame-based switching	
7	8ce932b3-199b-428a-bf9b-212df73d832e	E-mobility in the context of electric energy distribution grids	
8	311d8339-cc30-479e-b4ad-8503bd012dc4	A generic 10 Gbps assembly edge node and testbed for frame switching networks	
9	2f2444b6-0cb3-4427-b93b-ccc1adcc4eaa	Estimation of a two‐dimensional seismic compressional‐wave velocity distribution by iterative tomographic imaging	
10	a4930a7d-4bb4-4e8f-9100-b6505c28b533	Imaging of earthquake sources	
11	8fedface-c815-4131-a952-b38baf5def0c	Tomographic imaging of 3D seismic low-velocity anomalies to simulate monitoring of enhanced oil recovery	
12	38139657-1e1a-49e4-85da-398116dcca2c	A review of seismic acoustic imaging by reverse-time migration	
13	8e5f9089-7677-4991-ba21-f8d42e324bbb	Design procedure for DVB-T receivers large tuning range LP filter	
14	2f24b3ac-54ae-48b7-9984-896508050140	A 10-b 100-MS/s pipelined ADC with an optimized bit-stage resolution in 65nm CMOS technology	
15	2f24c436-d43b-4c81-82e2-90f7b4ef18a1	Report of a visit to discuss common programming languages in Czechoslavakia and Poland, 1963	
16	822c772c-ab6e-4bf9-b122-a3a65831f6cb	Bridging the Complex Contexts of Care in Medical Usability	
17	8dae3a2b-633e-4158-b1eb-c31071441294	Nonlinear Operator Equations And Applications To Modelling	
18	4c6cc0a8-cd82-4e31-87d6-5fb83068e41d	Adaptive image content-based exposure control for scanning applications in radiography	
19	f2ffc062-ea5f-430e-80a1-07cbf692a7e0	Simplified Axiom Schemes for Implication and Iterated Implication	
20	d95c0fef-f98f-43f9-b482-4ef3e5497cc4	IMPLICATION AND ITERATED IMPLICATION	
