id_n	name_s
0	SCIENCE
1	TAX_FNCACT
2	TAX_FNCACT_SCIENTIST
3	TAX_FNCACT_AUTHOR
4	EDUCATION
5	WB_470_EDUCATION
6	UNGP_EDUCATION
7	MEDIA_SOCIAL
8	GEN_HOLIDAY
9	CRISISLEX_C07_SAFETY
10	CRISISLEX_T11_UPDATESSYMPATHY
11	UNGP_FORESTS_RIVERS_OCEANS
12	MANMADE_DISASTER_IMPLIED
13	PUBLIC_TRANSPORT
14	WB_135_TRANSPORT
15	WB_1817_CONGESTION
16	WB_162_TRANSPORT_ECONOMICS
17	TAX_ETHNICITY
18	TAX_ETHNICITY_DUTCH
19	TAX_WORLDLANGUAGES
20	TAX_WORLDLANGUAGES_DUTCH
21	TAX_FNCACT_CEO
22	GENERAL_HEALTH
23	HEALTH_VACCINATION
24	WB_642_CHILD_HEALTH
25	WB_1459_IMMUNIZATIONS
26	WB_621_HEALTH_NUTRITION_AND_POPULATION
27	WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH
28	UNGP_HEALTHCARE
29	ALLIANCE
30	TAX_FNCACT_CHILDREN
31	CRISISLEX_CRISISLEXREC
32	TAX_DISEASE
33	TAX_DISEASE_INFECTIOUS
34	TAX_DISEASE_DISEASE
35	WB_1406_DISEASES
36	TAX_DISEASE_INFECTIOUS_DISEASE
37	WB_1415_COMMUNICABLE_DISEASE
38	WB_635_PUBLIC_HEALTH
39	WB_2165_HEALTH_EMERGENCIES
40	WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE
41	WB_2167_PANDEMICS
42	UNGP_CRIME_VIOLENCE
43	EPU_CATS_MIGRATION_FEAR_FEAR
44	TAX_DISEASE_DISEASES
45	TAX_DISEASE_MEASLES
46	MEDICAL
47	EPU_CATS_HEALTHCARE
48	CRISISLEX_C03_WELLBEING_HEALTH
49	TAX_DISEASE_BLINDNESS
50	TAX_DISEASE_BRAIN_DAMAGE
